time,G(i),H_sun,T2m,WS10m,,Price
20160930:0811,101.93,20.19,12.5,9.56,30-09-2016,27.95
20160930:0911,83.11,25.68,12.96,9.61,30-09-2016,27.96
20160930:1011,55.11,29.31,13.1,10.02,30-09-2016,27.96
20160930:1111,41.55,30.64,13.24,10.43,30-09-2016,24.22
20160930:1211,102.98,29.49,13.38,10.84,30-09-2016,23.97
20160930:1311,137.21,26.02,13.28,10.56,30-09-2016,23.52
20160930:1411,202.98,20.64,13.18,10.27,30-09-2016,23.2
20160930:1511,240.41,13.86,13.08,9.99,30-09-2016,22.88
20160930:1611,7.23,6.18,12.72,9.77,30-09-2016,23.01
20160930:1711,0,0,12.36,9.56,30-09-2016,23.17
20160930:1811,0,0,12,9.35,30-09-2016,23.43
20160930:1911,0,0,11.88,9.07,30-09-2016,23.76
20160930:2011,0,0,11.76,8.78,30-09-2016,23.78
20160930:2111,0,0,11.63,8.5,30-09-2016,23.69
20160930:2211,0,0,11.5,8.14,30-09-2016,23.47
20160930:2311,0,0,11.36,7.79,30-09-2016,23.32
20161001:0011,0,0,11.23,7.43,1/10/2016,23.14
20161001:0111,0,0,10.99,6.95,1/10/2016,22.93
20161001:0211,0,0,10.75,6.47,1/10/2016,22.87
20161001:0311,0,0,10.51,5.99,1/10/2016,23.01
20161001:0411,0,0,10.18,5.36,1/10/2016,23.18
20161001:0511,0,0,9.85,4.74,1/10/2016,23.65
20161001:0611,63.34,5.32,9.52,4.11,1/10/2016,29.27
20161001:0711,296.87,13.03,10.92,3.71,1/10/2016,29.86
20161001:0811,503.3,19.87,12.33,3.32,1/10/2016,29.15
20161001:0911,657.05,25.34,13.73,2.92,1/10/2016,36.06
20161001:1011,651.78,28.94,14.05,2.63,1/10/2016,28.96
20161001:1111,330.99,30.25,14.37,2.33,1/10/2016,28.79
20161001:1211,261.75,29.09,14.69,2.03,1/10/2016,28.36
20161001:1311,132.73,25.62,14.53,1.55,1/10/2016,28.14
20161001:1411,84.01,20.25,14.37,1.07,1/10/2016,28.04
20161001:1511,41.55,13.48,14.2,0.59,1/10/2016,28.25
20161001:1611,70.51,5.8,12.96,1.02,1/10/2016,28.96
20161001:1711,0,0,11.71,1.45,1/10/2016,34.63
20161001:1811,0,0,10.46,1.88,1/10/2016,39.93
20161001:1911,0,0,10.23,2.18,1/10/2016,45.03
20161001:2011,0,0,10,2.48,1/10/2016,40.06
20161001:2111,0,0,9.77,2.79,1/10/2016,30.74
20161001:2211,0,0,9.8,2.91,1/10/2016,28.84
20161001:2311,0,0,9.83,3.04,1/10/2016,32.47
20161002:0011,0,0,9.85,3.17,2/10/2016,32.68
20161002:0111,0,0,9.95,3.51,2/10/2016,27.04
20161002:0211,0,0,10.05,3.85,2/10/2016,26.28
20161002:0311,0,0,10.15,4.19,2/10/2016,25.13
20161002:0411,0,0,10.26,4.53,2/10/2016,24.9
20161002:0511,0,0,10.37,4.87,2/10/2016,25.03
20161002:0611,4.52,5.03,10.48,5.21,2/10/2016,25.43
20161002:0711,44.26,12.73,11.05,5.47,2/10/2016,26.09
20161002:0811,30.71,19.55,11.63,5.73,2/10/2016,29.7
20161002:0911,111.11,25,12.2,5.99,2/10/2016,30.99
20161002:1011,254.12,28.57,12.49,6.26,2/10/2016,29.88
20161002:1111,84.01,29.86,12.77,6.54,2/10/2016,32.38
20161002:1211,40.65,28.69,13.06,6.81,2/10/2016,29.11
20161002:1311,102.98,25.23,13.12,7.22,2/10/2016,26.64
20161002:1411,55.11,19.86,13.17,7.62,2/10/2016,25.01
20161002:1511,56.01,13.1,13.22,8.03,2/10/2016,24.65
20161002:1611,100.21,5.43,12.73,8.24,2/10/2016,25.06
20161002:1711,0,0,12.24,8.45,2/10/2016,31.65
20161002:1811,0,0,11.75,8.66,2/10/2016,41.22
20161002:1911,0,0,11.65,8.71,2/10/2016,49.35
20161002:2011,0,0,11.54,8.76,2/10/2016,42.4
20161002:2111,0,0,11.44,8.81,2/10/2016,34.78
20161002:2211,0,0,11.37,8.82,2/10/2016,29.94
20161002:2311,0,0,11.3,8.83,2/10/2016,25.19
20161003:0011,0,0,11.23,8.84,3/10/2016,25.85
20161003:0111,0,0,11.29,9.24,3/10/2016,25.28
20161003:0211,0,0,11.35,9.64,3/10/2016,24.71
20161003:0311,0,0,11.42,10.04,3/10/2016,24.54
20161003:0411,0,0,11.23,9.92,3/10/2016,24.51
20161003:0511,0,0,11.04,9.79,3/10/2016,24.96
20161003:0611,28.14,4.74,10.85,9.67,3/10/2016,25.76
20161003:0711,202.99,12.43,11.47,9.62,3/10/2016,30.44
20161003:0811,380.37,19.23,12.08,9.58,3/10/2016,30.11
20161003:0911,446.2,24.65,12.7,9.53,3/10/2016,26.56
20161003:1011,593.83,28.2,13.17,9.31,3/10/2016,26.39
20161003:1111,797.32,29.47,13.63,9.08,3/10/2016,26.25
20161003:1211,829.97,28.3,14.1,8.86,3/10/2016,25.65
20161003:1311,720.37,24.83,14.03,8.41,3/10/2016,25.33
20161003:1411,559.82,19.47,13.95,7.97,3/10/2016,24.59
20161003:1511,346.38,12.72,13.87,7.53,3/10/2016,26.57
20161003:1611,117.93,5.06,13.08,7.3,3/10/2016,26.12
20161003:1711,0,0,12.28,7.06,3/10/2016,30.54
20161003:1811,0,0,11.49,6.83,3/10/2016,32.5
20161003:1911,0,0,11.11,6.82,3/10/2016,33.22
20161003:2011,0,0,10.72,6.81,3/10/2016,31.95
20161003:2111,0,0,10.34,6.8,3/10/2016,28.42
20161003:2211,0,0,10.1,6.62,3/10/2016,25.74
20161003:2311,0,0,9.86,6.44,3/10/2016,24.6
20161004:0011,0,0,9.62,6.26,4/10/2016,25.62
20161004:0111,0,0,9.47,6.03,4/10/2016,25.28
20161004:0211,0,0,9.31,5.8,4/10/2016,24.05
20161004:0311,0,0,9.15,5.57,4/10/2016,23.44
20161004:0411,0,0,9,5.85,4/10/2016,23.25
20161004:0511,0,0,8.85,6.12,4/10/2016,25.54
20161004:0611,66.5,4.46,8.7,6.4,4/10/2016,30.04
20161004:0711,304.81,12.13,9.84,6.82,4/10/2016,37.1
20161004:0811,525.26,18.91,10.98,7.25,4/10/2016,40.38
20161004:0911,734.16,24.31,12.12,7.67,4/10/2016,35.9
20161004:1011,816.59,27.83,12.49,7.65,4/10/2016,32.37
20161004:1111,911.84,29.09,12.85,7.62,4/10/2016,28.71
20161004:1211,853.81,27.9,13.22,7.6,4/10/2016,31.29
20161004:1311,721.05,24.44,12.9,7.74,4/10/2016,32.08
20161004:1411,559.01,19.09,12.58,7.88,4/10/2016,31.99
20161004:1511,283.52,12.35,12.25,8.01,4/10/2016,31.87
20161004:1611,62.27,4.69,11.42,7.97,4/10/2016,30.49
20161004:1711,0,0,10.59,7.93,4/10/2016,35.7
20161004:1811,0,0,9.76,7.89,4/10/2016,31.39
20161004:1911,0,0,9.47,7.82,4/10/2016,31.36
20161004:2011,0,0,9.19,7.74,4/10/2016,30.21
20161004:2111,0,0,8.9,7.67,4/10/2016,26.08
20161004:2211,0,0,8.75,7.49,4/10/2016,24.78
20161004:2311,0,0,8.6,7.3,4/10/2016,24.93
20161005:0011,0,0,8.45,7.12,5/10/2016,25.06
20161005:0111,0,0,8.01,7.15,5/10/2016,24.25
20161005:0211,0,0,7.56,7.18,5/10/2016,23.2
20161005:0311,0,0,7.11,7.21,5/10/2016,22.23
20161005:0411,0,0,7.04,7.51,5/10/2016,22.71
20161005:0511,0,0,6.98,7.81,5/10/2016,24.3
20161005:0611,38.83,4.17,6.92,8.11,5/10/2016,31.17
20161005:0711,192.7,11.83,7.88,8.3,5/10/2016,31.05
20161005:0811,332.2,18.59,8.85,8.49,5/10/2016,30.54
20161005:0911,342.95,23.96,9.81,8.68,5/10/2016,28.61
20161005:1011,470.72,27.46,10.28,8.64,5/10/2016,26.83
20161005:1111,471.35,28.7,10.75,8.6,5/10/2016,26.63
20161005:1211,546.27,27.51,11.22,8.57,5/10/2016,26.33
20161005:1311,644.77,24.05,11.05,8.67,5/10/2016,26.69
20161005:1411,524.61,18.71,10.88,8.78,5/10/2016,26.81
20161005:1511,334.06,11.97,10.7,8.88,5/10/2016,26.75
20161005:1611,96.64,4.33,10.07,9.02,5/10/2016,26.77
20161005:1711,0,0,9.44,9.16,5/10/2016,26.87
20161005:1811,0,0,8.81,9.3,5/10/2016,26.91
20161005:1911,0,0,8.77,9.43,5/10/2016,26.95
20161005:2011,0,0,8.73,9.56,5/10/2016,26.94
20161005:2111,0,0,8.69,9.7,5/10/2016,27.02
20161005:2211,0,0,8.59,9.81,5/10/2016,26.98
20161005:2311,0,0,8.49,9.93,5/10/2016,25.02
20161006:0011,0,0,8.4,10.04,6/10/2016,13.65
20161006:0111,0,0,8.08,10.22,6/10/2016,17.1
20161006:0211,0,0,7.76,10.4,6/10/2016,16.05
20161006:0311,0,0,7.45,10.58,6/10/2016,12.3
20161006:0411,0,0,7.45,10.76,6/10/2016,19.55
20161006:0511,0,0,7.45,10.94,6/10/2016,24.06
20161006:0611,45.01,3.89,7.45,11.12,6/10/2016,27.63
20161006:0711,269.46,11.53,8.35,11.11,6/10/2016,33.19
20161006:0811,495.84,18.27,9.24,11.11,6/10/2016,29.26
20161006:0911,704.87,23.62,10.14,11.1,6/10/2016,27.52
20161006:1011,777.19,27.1,10.57,11.08,6/10/2016,27.31
20161006:1111,866.95,28.32,11.01,11.07,6/10/2016,27.16
20161006:1211,813.17,27.12,11.44,11.05,6/10/2016,27.02
20161006:1311,696.23,23.66,11.32,10.92,6/10/2016,27.08
20161006:1411,529.92,18.33,11.19,10.8,6/10/2016,27.03
20161006:1511,316.08,11.6,11.06,10.68,6/10/2016,26.93
20161006:1611,82.92,3.96,10.59,10.48,6/10/2016,26.99
20161006:1711,0,0,10.11,10.28,6/10/2016,27.1
20161006:1811,0,0,9.64,10.08,6/10/2016,27.12
20161006:1911,0,0,9.57,10.06,6/10/2016,27.3
20161006:2011,0,0,9.51,10.04,6/10/2016,27.43
20161006:2111,0,0,9.44,10.01,6/10/2016,27.2
20161006:2211,0,0,9.3,9.91,6/10/2016,27.01
20161006:2311,0,0,9.16,9.81,6/10/2016,26.87
20161007:0011,0,0,9.02,9.71,7/10/2016,26.96
20161007:0111,0,0,8.78,9.66,7/10/2016,26.9
20161007:0211,0,0,8.55,9.61,7/10/2016,26.98
20161007:0311,0,0,8.32,9.56,7/10/2016,26.86
20161007:0411,0,0,8.24,9.75,7/10/2016,27.07
20161007:0511,0,0,8.17,9.94,7/10/2016,27.12
20161007:0611,15.25,3.6,8.1,10.12,7/10/2016,27.15
20161007:0711,62.14,11.23,8.88,10.27,7/10/2016,27.62
20161007:0811,254.21,17.95,9.65,10.41,7/10/2016,27.74
20161007:0911,457.49,23.27,10.43,10.55,7/10/2016,27.58
20161007:1011,609.21,26.73,10.75,10.26,7/10/2016,27.5
20161007:1111,776.25,27.93,11.06,9.96,7/10/2016,27.36
20161007:1211,743.51,26.73,11.38,9.67,7/10/2016,27.17
20161007:1311,575.67,23.27,11.27,9.37,7/10/2016,27.23
20161007:1411,266.19,17.95,11.16,9.08,7/10/2016,27.12
20161007:1511,227.12,11.23,11.05,8.79,7/10/2016,27.02
20161007:1611,70.15,3.6,10.5,8.68,7/10/2016,27.11
20161007:1711,0,0,9.94,8.57,7/10/2016,31.49
20161007:1811,0,0,9.38,8.47,7/10/2016,31.76
20161007:1911,0,0,9.45,8.5,7/10/2016,31.9
20161007:2011,0,0,9.52,8.52,7/10/2016,31.63
20161007:2111,0,0,9.6,8.55,7/10/2016,27.82
20161007:2211,0,0,9.41,8.58,7/10/2016,27.7
20161007:2311,0,0,9.22,8.62,7/10/2016,27.46
20161008:0011,0,0,9.03,8.65,8/10/2016,28.13
20161008:0111,0,0,8.65,8.67,8/10/2016,27.95
20161008:0211,0,0,8.27,8.69,8/10/2016,27.8
20161008:0311,0,0,7.89,8.72,8/10/2016,27.77
20161008:0411,0,0,7.84,9.03,8/10/2016,27.81
20161008:0511,0,0,7.79,9.33,8/10/2016,27.9
20161008:0611,12.79,3.31,7.75,9.64,8/10/2016,28.15
20161008:0711,52.38,10.93,8.34,9.94,8/10/2016,28.06
20161008:0811,178.05,17.62,8.92,10.24,8/10/2016,28.21
20161008:0911,68.66,22.93,9.51,10.54,8/10/2016,28.36
20161008:1011,228.82,26.36,9.56,10.39,8/10/2016,28.36
20161008:1111,380.15,27.55,9.6,10.23,8/10/2016,28.25
20161008:1211,503.88,26.34,9.65,10.08,8/10/2016,28.11
20161008:1311,518.03,22.89,9.91,9.72,8/10/2016,28.07
20161008:1411,373.22,17.57,10.17,9.36,8/10/2016,28.05
20161008:1511,136.18,10.86,10.43,8.99,8/10/2016,28.06
20161008:1611,24.06,3.24,9.92,8.68,8/10/2016,28.14
20161008:1711,0,0,9.4,8.38,8/10/2016,28.45
20161008:1811,0,0,8.89,8.07,8/10/2016,35
20161008:1911,0,0,8.68,7.95,8/10/2016,34.96
20161008:2011,0,0,8.47,7.84,8/10/2016,28.81
20161008:2111,0,0,8.26,7.72,8/10/2016,28.54
20161008:2211,0,0,8.18,7.74,8/10/2016,28.38
20161008:2311,0,0,8.1,7.75,8/10/2016,28.2
20161009:0011,0,0,8.02,7.77,9/10/2016,28.71
20161009:0111,0,0,7.8,8.29,9/10/2016,28.45
20161009:0211,0,0,7.58,8.82,9/10/2016,28.32
20161009:0311,0,0,7.36,9.35,9/10/2016,28.1
20161009:0411,0,0,7.37,9.34,9/10/2016,28.03
20161009:0511,0,0,7.38,9.33,9/10/2016,28.06
20161009:0611,26.39,3.02,7.4,9.32,9/10/2016,28.34
20161009:0711,167.16,10.63,7.71,9.54,9/10/2016,28.59
20161009:0811,49.68,17.3,8.03,9.76,9/10/2016,28.72
20161009:0911,46.07,22.58,8.34,9.97,9/10/2016,28.81
20161009:1011,63.24,26,8.45,9.89,9/10/2016,28.86
20161009:1111,41.55,27.17,8.55,9.81,9/10/2016,28.83
20161009:1211,57.82,25.95,8.66,9.72,9/10/2016,28.77
20161009:1311,47.88,22.5,8.77,10.12,9/10/2016,28.81
20161009:1411,135.04,17.19,8.88,10.51,9/10/2016,28.23
20161009:1511,53.52,10.5,8.99,10.91,9/10/2016,28.21
20161009:1611,17.43,2.88,8.75,10.57,9/10/2016,28.8
20161009:1711,0,0,8.5,10.23,9/10/2016,29.11
20161009:1811,0,0,8.25,9.89,9/10/2016,34.56
20161009:1911,0,0,8.21,9.82,9/10/2016,34.56
20161009:2011,0,0,8.16,9.74,9/10/2016,29.36
20161009:2111,0,0,8.12,9.67,9/10/2016,29.08
20161009:2211,0,0,8.06,9.72,9/10/2016,28.87
20161009:2311,0,0,8.01,9.78,9/10/2016,28.77
20161010:0011,0,0,7.95,9.83,10/10/2016,29.58
20161010:0111,0,0,7.97,9.78,10/10/2016,30.96
20161010:0211,0,0,7.98,9.72,10/10/2016,30.32
20161010:0311,0,0,8,9.67,10/10/2016,29.92
20161010:0411,0,0,8.06,9.83,10/10/2016,29.46
20161010:0511,0,0,8.13,10,10/10/2016,31.28
20161010:0611,0,0,8.2,10.17,10/10/2016,44.37
20161010:0711,43.44,10.33,8.62,10.4,10/10/2016,67.58
20161010:0811,93.49,16.98,9.03,10.63,10/10/2016,75
20161010:0911,101.78,22.24,9.45,10.87,10/10/2016,70.16
20161010:1011,97.56,25.63,9.5,10.66,10/10/2016,60.13
20161010:1111,109.31,26.79,9.55,10.45,10/10/2016,55.66
20161010:1211,50.59,25.57,9.6,10.23,10/10/2016,51.99
20161010:1311,42.46,22.12,9.49,10.31,10/10/2016,53.21
20161010:1411,66.85,16.82,9.38,10.39,10/10/2016,52.65
20161010:1511,36.13,10.13,9.26,10.47,10/10/2016,45.09
20161010:1611,5.86,2.52,9.11,10.25,10/10/2016,31.23
20161010:1711,0,0,8.95,10.04,10/10/2016,35.04
20161010:1811,0,0,8.79,9.82,10/10/2016,33.27
20161010:1911,0,0,8.73,9.78,10/10/2016,33.22
20161010:2011,0,0,8.66,9.74,10/10/2016,30.93
20161010:2111,0,0,8.6,9.7,10/10/2016,29.13
20161010:2211,0,0,8.54,9.66,10/10/2016,28.93
20161010:2311,0,0,8.48,9.63,10/10/2016,28.75
20161011:0011,0,0,8.41,9.6,11/10/2016,28.7
20161011:0111,0,0,8.32,9.66,11/10/2016,28.62
20161011:0211,0,0,8.22,9.71,11/10/2016,28.55
20161011:0311,0,0,8.12,9.77,11/10/2016,28.57
20161011:0411,0,0,7.97,9.69,11/10/2016,28.79
20161011:0511,0,0,7.83,9.61,11/10/2016,28.72
20161011:0611,0,0,7.69,9.53,11/10/2016,29.5
20161011:0711,39.75,10.03,8.17,9.71,11/10/2016,29.83
20161011:0811,58.72,16.66,8.66,9.89,11/10/2016,30.46
20161011:0911,37.04,21.9,9.14,10.07,11/10/2016,30.38
20161011:1011,56.01,25.27,9.38,10.03,11/10/2016,29.92
20161011:1111,53.3,26.41,9.63,9.99,11/10/2016,29.85
20161011:1211,69.56,25.18,9.87,9.94,11/10/2016,29.7
20161011:1311,52.4,21.74,10.02,9.63,11/10/2016,29.76
20161011:1411,29.81,16.45,10.17,9.31,11/10/2016,29.68
20161011:1511,36.13,9.77,10.31,8.99,11/10/2016,29.61
20161011:1611,5.86,2.17,9.92,8.79,11/10/2016,29.64
20161011:1711,0,0,9.52,8.59,11/10/2016,31.27
20161011:1811,0,0,9.13,8.39,11/10/2016,31.52
20161011:1911,0,0,9,8.3,11/10/2016,31.28
20161011:2011,0,0,8.88,8.21,11/10/2016,30.99
20161011:2111,0,0,8.75,8.12,11/10/2016,29.44
20161011:2211,0,0,8.54,8.16,11/10/2016,29.26
20161011:2311,0,0,8.34,8.2,11/10/2016,28.98
20161012:0011,0,0,8.14,8.23,12/10/2016,28.17
20161012:0111,0,0,7.86,8.35,12/10/2016,27.93
20161012:0211,0,0,7.59,8.46,12/10/2016,28.24
20161012:0311,0,0,7.32,8.58,12/10/2016,28.01
20161012:0411,0,0,7.34,8.54,12/10/2016,28.16
20161012:0511,0,0,7.36,8.51,12/10/2016,29.99
20161012:0611,0,0,7.38,8.47,12/10/2016,32.93
20161012:0711,37.94,9.72,7.89,8.61,12/10/2016,39.65
20161012:0811,91.97,16.34,8.4,8.75,12/10/2016,46.99
20161012:0911,57.82,21.55,8.91,8.9,12/10/2016,34.27
20161012:1011,72.27,24.9,9.11,8.71,12/10/2016,34.26
20161012:1111,50.59,26.03,9.32,8.52,12/10/2016,34.23
20161012:1211,41.55,24.8,9.52,8.33,12/10/2016,34.17
20161012:1311,39.75,21.36,9.59,8.22,12/10/2016,34.22
20161012:1411,29.81,16.08,9.65,8.1,12/10/2016,34.2
20161012:1511,33.42,9.41,9.71,7.99,12/10/2016,33.87
20161012:1611,0,0,9.5,7.74,12/10/2016,36.88
20161012:1711,0,0,9.28,7.5,12/10/2016,43.89
20161012:1811,0,0,9.07,7.26,12/10/2016,45.03
20161012:1911,0,0,8.93,7.07,12/10/2016,40.18
20161012:2011,0,0,8.79,6.88,12/10/2016,36.24
20161012:2111,0,0,8.65,6.69,12/10/2016,33.57
20161012:2211,0,0,8.53,6.79,12/10/2016,33.99
20161012:2311,0,0,8.42,6.89,12/10/2016,30.1
20161013:0011,0,0,8.31,6.99,13-10-2016,28.21
20161013:0111,0,0,8.24,7.29,13-10-2016,28.15
20161013:0211,0,0,8.18,7.59,13-10-2016,28.08
20161013:0311,0,0,8.12,7.89,13-10-2016,28.14
20161013:0411,0,0,8.17,7.91,13-10-2016,28.12
20161013:0511,0,0,8.22,7.93,13-10-2016,28.23
20161013:0611,0,0,8.27,7.94,13-10-2016,33.82
20161013:0711,60.42,9.42,8.76,8.03,13-10-2016,39.88
20161013:0811,73.11,16.02,9.24,8.12,13-10-2016,40.57
20161013:0911,57.82,21.21,9.73,8.21,13-10-2016,37.81
20161013:1011,91.24,24.54,9.94,8.47,13-10-2016,34.13
20161013:1111,108.4,25.66,10.15,8.73,13-10-2016,33.84
20161013:1211,494.7,24.42,10.36,8.99,13-10-2016,30.38
20161013:1311,137.83,20.99,10.34,9.08,13-10-2016,30.31
20161013:1411,207.61,15.71,10.32,9.16,13-10-2016,30.12
20161013:1511,152.65,9.06,10.3,9.24,13-10-2016,30.21
20161013:1611,0,0,9.81,9.37,13-10-2016,30.2
20161013:1711,0,0,9.32,9.5,13-10-2016,30.35
20161013:1811,0,0,8.83,9.63,13-10-2016,30.36
20161013:1911,0,0,8.57,9.64,13-10-2016,31.77
20161013:2011,0,0,8.31,9.65,13-10-2016,30.58
20161013:2111,0,0,8.06,9.66,13-10-2016,28.7
20161013:2211,0,0,8.02,9.61,13-10-2016,28.2
20161013:2311,0,0,7.98,9.57,13-10-2016,28.83
20161014:0011,0,0,7.95,9.53,14-10-2016,20.8
20161014:0111,0,0,8.1,9.86,14-10-2016,20.02
20161014:0211,0,0,8.25,10.19,14-10-2016,14.98
20161014:0311,0,0,8.4,10.52,14-10-2016,20.07
20161014:0411,0,0,8.4,10.68,14-10-2016,21.72
20161014:0511,0,0,8.4,10.85,14-10-2016,25.2
20161014:0611,0,0,8.41,11.01,14-10-2016,30.29
20161014:0711,47,9.12,8.89,11.43,14-10-2016,37.7
20161014:0811,55.11,15.7,9.37,11.86,14-10-2016,30.51
20161014:0911,255.31,20.87,9.85,12.29,14-10-2016,30.39
20161014:1011,133.15,24.18,10.07,12.23,14-10-2016,33.36
20161014:1111,75.88,25.28,10.3,12.17,14-10-2016,29.55
20161014:1211,92.14,24.04,10.52,12.11,14-10-2016,28.17
20161014:1311,40.65,20.61,10.43,11.96,14-10-2016,28.1
20161014:1411,91.7,15.35,10.34,11.81,14-10-2016,28.2
20161014:1511,156.68,8.7,10.24,11.66,14-10-2016,30.01
20161014:1611,0,0,9.92,11.6,14-10-2016,29
20161014:1711,0,0,9.6,11.54,14-10-2016,31.29
20161014:1811,0,0,9.28,11.48,14-10-2016,30.41
20161014:1911,0,0,9.18,11.48,14-10-2016,30.65
20161014:2011,0,0,9.07,11.48,14-10-2016,31.93
20161014:2111,0,0,8.97,11.49,14-10-2016,29.57
20161014:2211,0,0,8.9,11.59,14-10-2016,28.2
20161014:2311,0,0,8.84,11.69,14-10-2016,28.01
20161015:0011,0,0,8.77,11.79,15-10-2016,15.53
20161015:0111,0,0,8.67,12,15-10-2016,13.1
20161015:0211,0,0,8.57,12.21,15-10-2016,13.66
20161015:0311,0,0,8.47,12.41,15-10-2016,13.62
20161015:0411,0,0,8.54,12.63,15-10-2016,17.99
20161015:0511,0,0,8.61,12.85,15-10-2016,15.5
20161015:0611,0,0,8.69,13.06,15-10-2016,15.79
20161015:0711,21.68,8.82,9,13.22,15-10-2016,27.62
20161015:0811,32.52,15.38,9.3,13.37,15-10-2016,30.59
20161015:0911,53.3,20.53,9.61,13.53,15-10-2016,30.43
20161015:1011,55.11,23.82,9.56,13.41,15-10-2016,30.42
20161015:1111,55.11,24.91,9.52,13.28,15-10-2016,30.44
20161015:1211,58.72,23.67,9.47,13.16,15-10-2016,30.39
20161015:1311,322.19,20.24,9.41,13.05,15-10-2016,30.36
20161015:1411,211.29,14.99,9.35,12.94,15-10-2016,30.36
20161015:1511,106.3,8.35,9.28,12.83,15-10-2016,30.32
20161015:1611,1.67,0.78,9.16,12.37,15-10-2016,30.44
20161015:1711,0,0,9.04,11.92,15-10-2016,30.77
20161015:1811,0,0,8.92,11.46,15-10-2016,31.01
20161015:1911,0,0,8.84,11.12,15-10-2016,31.15
20161015:2011,0,0,8.77,10.78,15-10-2016,30.98
20161015:2111,0,0,8.69,10.44,15-10-2016,30.89
20161015:2211,0,0,8.72,10.23,15-10-2016,30.68
20161015:2311,0,0,8.75,10.03,15-10-2016,30
20161016:0011,0,0,8.77,9.82,16-10-2016,30.24
20161016:0111,0,0,8.78,9.51,16-10-2016,29.85
20161016:0211,0,0,8.79,9.2,16-10-2016,29.75
20161016:0311,0,0,8.8,8.9,16-10-2016,29.61
20161016:0411,0,0,8.83,8.77,16-10-2016,29.68
20161016:0511,0,0,8.87,8.65,16-10-2016,29.88
20161016:0611,0,1.01,8.91,8.52,16-10-2016,30.26
20161016:0711,96.04,8.52,9.25,8.67,16-10-2016,30.77
20161016:0811,188.71,15.06,9.58,8.82,16-10-2016,31.44
20161016:0911,246.63,20.19,9.92,8.97,16-10-2016,32.38
20161016:1011,335.44,23.46,10.24,9,16-10-2016,33.25
20161016:1111,346.15,24.54,10.56,9.04,16-10-2016,33.58
20161016:1211,345.31,23.3,10.88,9.08,16-10-2016,32.72
20161016:1311,276.2,19.88,10.87,8.8,16-10-2016,31.54
20161016:1411,194.41,14.63,10.85,8.53,16-10-2016,30.08
20161016:1511,99.37,8.01,10.83,8.26,16-10-2016,30.44
20161016:1611,1.51,0.44,10.46,8.19,16-10-2016,31.05
20161016:1711,0,0,10.08,8.11,16-10-2016,34.43
20161016:1811,0,0,9.7,8.04,16-10-2016,35.79
20161016:1911,0,0,9.65,8.06,16-10-2016,33.76
20161016:2011,0,0,9.6,8.09,16-10-2016,32.15
20161016:2111,0,0,9.55,8.11,16-10-2016,31.06
20161016:2211,0,0,9.67,8.13,16-10-2016,30.57
20161016:2311,0,0,9.79,8.15,16-10-2016,28.84
20161017:0011,0,0,9.9,8.17,17-10-2016,30.01
20161017:0111,0,0,9.61,8.2,17-10-2016,29.56
20161017:0211,0,0,9.31,8.24,17-10-2016,29.17
20161017:0311,0,0,9.02,8.28,17-10-2016,28.44
20161017:0411,0,0,9.18,8.53,17-10-2016,28.53
20161017:0511,0,0,9.35,8.78,17-10-2016,30.46
20161017:0611,0,0.72,9.52,9.03,17-10-2016,31.71
20161017:0711,79.74,8.22,9.9,9.56,17-10-2016,31.18
20161017:0811,171.78,14.74,10.29,10.08,17-10-2016,31.42
20161017:0911,261.81,19.85,10.67,10.61,17-10-2016,31.33
20161017:1011,300.29,23.1,10.94,10.86,17-10-2016,31.05
20161017:1111,320.61,24.17,11.2,11.1,17-10-2016,31.09
20161017:1211,334.32,22.93,11.47,11.35,17-10-2016,31.04
20161017:1311,23.49,19.51,11.61,10.02,17-10-2016,31.13
20161017:1411,24.39,14.28,11.74,8.69,17-10-2016,31.05
20161017:1511,38.12,7.66,11.87,7.37,17-10-2016,30.99
20161017:1611,0,0,11.72,7.27,17-10-2016,31.5
20161017:1711,0,0,11.56,7.17,17-10-2016,32.17
20161017:1811,0,0,11.41,7.08,17-10-2016,34.81
20161017:1911,0,0,11.35,6.77,17-10-2016,34.97
20161017:2011,0,0,11.28,6.46,17-10-2016,34.59
20161017:2111,0,0,11.22,6.15,17-10-2016,34.44
20161017:2211,0,0,11.1,5.94,17-10-2016,34.54
20161017:2311,0,0,10.98,5.73,17-10-2016,31.79
20161018:0011,0,0,10.85,5.52,18-10-2016,31.5
20161018:0111,0,0,10.57,5.54,18-10-2016,30.82
20161018:0211,0,0,10.28,5.56,18-10-2016,30.46
20161018:0311,0,0,9.99,5.59,18-10-2016,30.5
20161018:0411,0,0,9.84,5.78,18-10-2016,31.11
20161018:0511,0,0,9.7,5.97,18-10-2016,32.96
20161018:0611,0,0,9.56,6.17,18-10-2016,37.3
20161018:0711,13.55,7.92,10.21,6.3,18-10-2016,39.96
20161018:0811,76.33,14.42,10.86,6.44,18-10-2016,41.21
20161018:0911,37.04,19.51,11.51,6.58,18-10-2016,40.94
20161018:1011,57.82,22.75,11.78,7.09,18-10-2016,40.06
20161018:1111,86.72,23.81,12.04,7.59,18-10-2016,39.96
20161018:1211,145.48,22.56,12.31,8.1,18-10-2016,37.94
20161018:1311,319.77,19.15,12.04,7.65,18-10-2016,39.31
20161018:1411,228.85,13.92,11.76,7.2,18-10-2016,34.17
20161018:1511,38.3,7.32,11.48,6.74,18-10-2016,34.01
20161018:1611,0,0,11.06,6.83,18-10-2016,36.8
